route,viewport,httpStatus,cssLoaded,sealPresent,sealHuge,sealOverflow,carouselPresent,carouselOverflow,redSurfaceCount,callLooksRed,quoteLooksBlue,redAccentPresent,horizontalOverflow,stickyOverFooter,googleAdsPresent,phoneTrackingPresent,quoteTrackingPresent,fakeSchemaApiPresent,issues,screenshot
/service-areas/,1920x1080,200,true,true,false,false,false,false,50,true,true,true,false,false,true,true,true,false,,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/,360x800,200,true,true,false,false,false,false,47,true,true,true,false,false,true,true,true,false,,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/,390x844,200,true,true,false,false,false,false,47,true,true,true,false,false,true,true,true,false,,C:\Users\Admin\evaready-electrical\reports\google-seal-reviews-red-theme-screenshots\service-areas-canterbury-bankstown-and-inner-south-west-canterbury-bankstown-panania-390x844.png
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/,412x915,200,true,true,false,false,false,false,47,true,true,true,false,false,true,true,true,false,,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/,430x932,200,true,true,false,false,false,false,47,true,true,true,false,false,true,true,true,false,,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/,768x1024,200,true,true,false,false,false,false,47,true,true,true,false,false,true,true,true,false,,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/,820x1180,200,true,true,false,false,false,false,47,true,true,true,false,false,true,true,true,false,,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/,1024x768,200,true,true,false,false,false,false,47,true,true,true,false,false,true,true,true,false,,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/,1366x768,200,true,true,false,false,false,false,47,true,true,true,false,false,true,true,true,false,,C:\Users\Admin\evaready-electrical\reports\google-seal-reviews-red-theme-screenshots\service-areas-canterbury-bankstown-and-inner-south-west-canterbury-bankstown-panania-1366x768.png
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/,1440x900,200,true,true,false,false,false,false,47,true,true,true,false,false,true,true,true,false,,
