route,viewport,httpStatus,heroType,hasHero,expectedVan,vanPresent,heroWidth,heroHeight,beforeHasVan,beforeOpacity,beforeBackgroundSize,beforeBackgroundPosition,homeImageLoaded,overflowX,issue
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/greenacre,mobile-390,200,internal,yes,yes,yes,390,1297,yes,1,contain,100% 0%,no,no,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/kingsgrove,desktop-1440,200,internal,yes,yes,yes,1440,982,yes,1,cover,100% 50%,no,no,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/kingsgrove,mobile-390,200,internal,yes,yes,yes,390,1229,yes,1,contain,100% 0%,no,no,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/lakemba,desktop-1440,200,internal,yes,yes,yes,1440,982,yes,1,cover,100% 50%,no,no,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/lakemba,mobile-390,200,internal,yes,yes,yes,390,1229,yes,1,contain,100% 0%,no,no,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/lansdowne,desktop-1440,200,internal,yes,yes,yes,1440,1038,yes,1,cover,100% 50%,no,no,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/lansdowne,mobile-390,200,internal,yes,yes,yes,390,1297,yes,1,contain,100% 0%,no,no,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/milperra,desktop-1440,200,internal,yes,yes,yes,1440,950,yes,1,cover,100% 50%,no,no,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/milperra,mobile-390,200,internal,yes,yes,yes,390,1162,yes,1,contain,100% 0%,no,no,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/mount-lewis,desktop-1440,200,internal,yes,yes,yes,1440,950,yes,1,cover,100% 50%,no,no,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/mount-lewis,mobile-390,200,internal,yes,yes,yes,390,1162,yes,1,contain,100% 0%,no,no,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/narwee,desktop-1440,200,internal,yes,yes,yes,1440,950,yes,1,cover,100% 50%,no,no,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/narwee,mobile-390,200,internal,yes,yes,yes,390,1162,yes,1,contain,100% 0%,no,no,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/padstow,desktop-1440,200,internal,yes,yes,yes,1440,890,yes,1,cover,100% 50%,no,no,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/padstow,mobile-390,200,internal,yes,yes,yes,390,1094,yes,1,contain,100% 0%,no,no,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/padstow-heights,desktop-1440,200,internal,yes,yes,yes,1440,950,yes,1,cover,100% 50%,no,no,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/padstow-heights,mobile-390,200,internal,yes,yes,yes,390,1198,yes,1,contain,100% 0%,no,no,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania,desktop-1440,200,internal,yes,yes,yes,1440,922,yes,1,cover,100% 50%,no,no,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania,mobile-390,200,internal,yes,yes,yes,390,1139,yes,1,contain,100% 0%,no,no,
