route,pageType,status,title,h1,wordCount,phoneCTA,quoteCTA,adsTag,phoneConversion,quoteConversion,internalLinks,brokenInternalLinks,assets,assetFailures,staleRisky,notes
https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/campsie,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/canterbury,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/chester-hill,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/clemton-park,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/condell-park,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/earlwood,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/east-hills,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/georges-hall,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/greenacre,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/kingsgrove,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/lakemba,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/lansdowne,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/milperra,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/mount-lewis,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/narwee,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/padstow,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
