pageName,route,viewport,pass,callAccessible,quoteAccessible,status,overflow,headerFits,headerVisible,h1Visible,headerCallVisible,headerQuoteVisible,stickyCallVisible,stickyQuoteVisible,imageVisible,imageFilter,imageOpacity,imageBlend,imageMask,heroBeforeDisplay,heroBeforeContent,heroAfterDisplay,heroAfterContent,menuButtonVisible,scrollWorks,cssLoads,menuOpens
"level2","/level-2-electrician-sydney/","1600x900",true,true,true,200,0,true,true,true,true,true,false,false,true,"none","1","normal","none","none","none","none","none",false,true,true,"n/a"
"level2","/level-2-electrician-sydney/","1920x1080",true,true,true,200,0,true,true,true,true,true,false,false,true,"none","1","normal","none","none","none","none","none",false,true,true,"n/a"
"services","/services/","360x800",true,true,true,200,0,true,true,true,false,false,true,true,true,"none","1","normal","none","none","none","none","none",true,true,true,true
"services","/services/","375x812",true,true,true,200,0,true,true,true,false,false,true,true,true,"none","1","normal","none","none","none","none","none",true,true,true,true
"services","/services/","390x844",true,true,true,200,0,true,true,true,false,false,true,true,true,"none","1","normal","none","none","none","none","none",true,true,true,true
"services","/services/","412x915",true,true,true,200,0,true,true,true,false,false,true,true,true,"none","1","normal","none","none","none","none","none",true,true,true,true
"services","/services/","430x932",true,true,true,200,0,true,true,true,false,false,true,true,true,"none","1","normal","none","none","none","none","none",true,true,true,true
"services","/services/","768x1024",true,true,true,200,0,true,true,true,true,true,false,false,true,"none","1","normal","none","none","none","none","none",true,true,true,"n/a"
"services","/services/","820x1180",true,true,true,200,0,true,true,true,true,true,false,false,true,"none","1","normal","none","none","none","none","none",true,true,true,"n/a"
"services","/services/","834x1194",true,true,true,200,0,true,true,true,true,true,false,false,true,"none","1","normal","none","none","none","none","none",true,true,true,"n/a"
"services","/services/","912x1368",true,true,true,200,0,true,true,true,true,true,false,false,true,"none","1","normal","none","none","none","none","none",true,true,true,"n/a"
"services","/services/","1024x1366",true,true,true,200,0,true,true,true,true,true,false,false,true,"none","1","normal","none","none","none","none","none",true,true,true,"n/a"
