file,type,raw bytes,gzip bytes,route or asset group,over 500 KB yes/no,over 1 MB yes/no,duplicate content hash yes/no,optimisation recommendation,notes
service-areas/parramatta-and-cumberland/parramatta/constitution-hill/index.html,html,394074,45480,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/bilgola-beach/index.html,html,394073,45267,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/mount-ousley/index.html,html,394049,44904,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/maddens-plains/index.html,html,394046,44958,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/unanderra/index.html,html,394000,44953,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/clontarf/index.html,html,393990,45214,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/east-corrimal/index.html,html,393987,45078,route html,no,no,no,ok,
service-areas/macarthur-camden-and-wollondilly/camden/gledswood-hills/index.html,html,393985,45503,route html,no,no,no,ok,
service-areas/western-sydney-and-nepean/penrith/cambridge-gardens/index.html,html,393972,45379,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/gwynneville/index.html,html,393965,44877,route html,no,no,no,ok,
service-areas/sydney-city-and-eastern-suburbs/sydney/millers-point/index.html,html,393958,44916,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/cleveland/index.html,html,393932,44955,route html,no,no,no,ok,
service-areas/southern-highlands/wingecarribee/yerrinbool/index.html,html,393928,45210,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/shellharbour/albion-park/index.html,html,393921,45368,route html,no,no,no,ok,
service-areas/central-coast-south/central-coast/point-clare/index.html,html,393919,45282,route html,no,no,no,ok,
service-areas/hills-hawkesbury-and-hornsby/hawkesbury/pitt-town-bottoms/index.html,html,393904,45726,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/palm-beach/index.html,html,393901,44964,route html,no,no,no,ok,
service-areas/western-sydney-and-nepean/blacktown/kellyville-ridge/index.html,html,393882,45594,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/minnamurra-and-kiama-downs/minnamurra/index.html,html,393880,45108,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/kembla-grange/index.html,html,393879,44796,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/collaroy/index.html,html,393862,45224,route html,no,no,no,ok,
service-areas/western-sydney-and-nepean/blacktown/acacia-gardens/index.html,html,393856,45173,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/church-point/index.html,html,393847,45011,route html,no,no,no,ok,
service-areas/blue-mountains/blue-mountains/mount-riverview/index.html,html,393836,45040,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/north-narrabeen/index.html,html,393833,45279,route html,no,no,no,ok,
service-areas/hills-hawkesbury-and-hornsby/hornsby/hornsby-heights/index.html,html,393831,45180,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/lake-heights/index.html,html,393830,44793,route html,no,no,no,ok,
service-areas/hills-hawkesbury-and-hornsby/hills-district/sackville-north/index.html,html,393824,45896,route html,no,no,no,ok,
service-areas/hills-hawkesbury-and-hornsby/hawkesbury/kurrajong-heights/index.html,html,393817,45398,route html,no,no,no,ok,
service-areas/macarthur-camden-and-wollondilly/campbelltown/macquarie-links/index.html,html,393815,45653,route html,no,no,no,ok,
service-areas/hills-hawkesbury-and-hornsby/hawkesbury/cumberland-reach/index.html,html,393803,45754,route html,no,no,no,ok,
service-areas/hills-hawkesbury-and-hornsby/hornsby/milsons-passage/index.html,html,393794,45726,route html,no,no,no,ok,
